Country,QuarterlyChange_people_fully_vaccinated,QuarterlyChange_total_cases,QuarterlyChange_total_deaths,YearlyChange_people_fully_vaccinated,YearlyChange_total_cases,YearlyChange_total_deaths,vaccinated_rate,QuarterlyChange_people_fully_vaccinatedRank,QuarterlyChange_total_casesRank,QuarterlyChange_total_deathsRank,YearlyChange_people_fully_vaccinatedRank,YearlyChange_total_casesRank,YearlyChange_total_deathsRank,vaccinated_rateRank
Greenland,0.14429396838983832,0.0,0.0,0.0,0.0,0.0,0.658208482802279,144,1,40,9,190,194,53
Grenada,0.5247880697705383,0.13512993262752637,0.4184397163120568,0.0,-0.38708923415371976,0.0,0.3039861965225855,77,155,210,8,165,193,147
Guatemala,0.6327685387620516,0.10292246325727494,0.17539074019463285,0.0,-0.7455387660946753,-0.5835443351964638,0.2196682737650486,68,136,176,7,126,145,167
Guernsey,0.0,0.0,0.0,0.0,0.0,0.0,0.2148457837027688,222,13,41,6,181,189,169
Guinea,0.3837660307077786,0.011804939002334702,0.02110817941952514,0.0,-0.973813874395403,-0.961141760614056,0.05934095993128075,98,55,81,5,32,44,198
Guinea-Bissau,1.5491715660074825,0.05452759128868512,0.09629629629629632,0.0,-0.8883959483807546,-0.7592592592592591,0.009465688244545991,29,105,146,4,88,116,226
Guyana,0.47939474759641243,0.1899959154177271,0.2646310432569974,0.0,-0.6928633810505367,-0.35224640157988685,0.3481157846921978,82,173,195,3,135,164,138
Haiti,2.28623366414464,0.1629787037464776,0.20983606557377055,0.0,-0.40934249410618717,2.0950819672131136,0.005795341979155033,17,165,184,28,164,224,227
High income,0.13067606811374932,0.16476157178712758,0.08605275239969679,-0.9999598649979252,-0.7348168714814354,-0.8608060776084316,0.6755977485225633,152,166,136,226,127,91,45
Honduras,0.9753694061144329,0.032418564238757996,0.06392553953155367,0.0,-0.9412423169258038,-0.8643478381466013,0.39041551649538897,41,91,123,29,58,90,129
Hong Kong,0.08279591222174965,0.01792584104117223,0.0,0.0,-0.9394994315718391,-1.0,0.5998587278889949,172,66,25,30,60,1,78
Hungary,0.033857326296430124,0.3408305528713209,0.1434580987081815,0.0,-0.6668193558760144,-0.8778428671982208,0.6064756851711649,198,199,167,44,140,86,76
Iceland,0.015347784263096687,0.5163121769341581,0.06060606060606055,0.0,5.5872733172486635,inf,0.8177015377446412,211,222,120,55,232,232,9
